test_id,use_case,input,model_name,model_response,latency_ms,tokens_per_second
pet_health_assistant_001,pet health assistant,My cat vomited twice today; is this normal?,qwen25-15b-q4,"Yes, vomiting can be a sign of various issues in cats, including stress or dietary changes. It's important to monitor your cat closely for any other symptoms like diarrhea, lethargy, or loss of appetite. If the episodes continue or worsen, consult with a veterinarian for further evaluation and treatment.",8244.26,371.75
pet_health_assistant_002,pet health assistant,Suggest a diet for an older dog with arthritis.,qwen25-15b-q4,"For an older dog with arthritis, consider this balanced diet:

1. High-quality protein sources like chicken or turkey.
2. Low-impact canned food options to reduce joint strain.
3. Omega-3 fatty acids (e.g., fish oil) for inflammation reduction.
4. Fiber-rich vegetables and fruits in moderation.
5. Hydration is key; ensure plenty of fresh water.

Consult with a vet for personalized recommendations based on your dog's specific needs.",2444.86,384.13
pet_health_assistant_003,pet health assistant,What symptoms indicate heatstroke in outdoor pets?,qwen25-15b-q4,"Excessive panting, lethargy, excessive thirst, unsteady gait or collapse, elevated body temperature (>104°F/40°C), vomiting, diarrhea, seizures.",2270.45,385.20
pet_health_assistant_001,pet health assistant,My cat vomited twice today; is this normal?,llama32-1b-q4,"Yes, vomiting in cats can be a sign of illness or discomfort. It's essential to monitor your cat for any changes in behavior, appetite, or stool quality before considering the cause of their vomiting. If you suspect that your cat has ingested something toxic or if they show signs of severe distress, contact your veterinarian immediately.",8452.40,502.93
pet_health_assistant_002,pet health assistant,Suggest a diet for an older dog with arthritis.,llama32-1b-q4,"For dogs with arthritis, a balanced diet rich in protein, fiber, and omega-3 fatty acids is recommended. Consider the following:

* High-quality commercial dog food specifically formulated for joint health
* Adding supplements such as glucosamine and chondroitin to support cartilage and bone health
* Increasing fiber intake through foods like sweet potatoes or pumpkin
* Limiting high-fat and spicy ingredients that can exacerbate arthritis symptoms",2377.90,525.58
pet_health_assistant_003,pet health assistant,What symptoms indicate heatstroke in outdoor pets?,llama32-1b-q4,"Dehydration, high body temperature (above 104°F), lethargy, confusion, loss of coordination or seizure, dilated pupils, sunken eyes, dry gums, rapid breathing, pale gums, vomiting, diarrhea, and abdominal pain.",2274.96,524.14
pet_health_assistant_001,pet health assistant,My cat vomited twice today; is this normal?,tinyllama-11b-q4,"Yes, your cat's vomiting twice in a day is considered as a common occurrence among cats. It may be due to various reasons such as food allergies, gastrointestinal disorders, or stress. However, it is not recommended to treat the symptoms of vomiting with medication without consulting your veterinarian. If you notice any persistent vomiting, seek immediate medical attention from a vet.",2303.51,441.49
pet_health_assistant_002,pet health assistant,Suggest a diet for an older dog with arthritis.,tinyllama-11b-q4,"A diet of high-quality, nutrient-dense foods such as raw kibble or canned food, low in fat and high in protein, with limited or no grains, added sugars, or artificial preservatives. Avoid processed, packaged foods that may contain additives or preservatives that could negatively impact the dog's health. Feed your older dog a balanced diet for at least 10-12 hours per day to ensure they receive all of their nutrients and energy requirements.",2312.71,557.23
pet_health_assistant_003,pet health assistant,What symptoms indicate heatstroke in outdoor pets?,tinyllama-11b-q4,"Heatstroke is a serious medical condition that can occur in pets who spend too much time in the sun or hot weather, especially if they are not accustomed to it. Here are some of the common symptoms associated with heatstroke:

1. Dizziness and confusion: Pets may become disoriented, dizzy, and confused due to dehydration and heat exhaustion.
2. Excessive thirst: Hot weather can cause pets to drink more water than usual, leading to dehydration.
3. Difficulty breathing or gasping for air: Heatstroke can cause a sudden drop in blood pressure, causing the pet's respiratory system to shut down.
4. Seizures and coma: Pets with severe heatstroke may experience seizures or comas due to their high body temperature.
5. Redness of skin: Hot weather can cause skin irritation, leading to redness and itching in pets' fur.
",2493.39,552.54
pet_health_assistant_001,pet health assistant,My cat vomited twice today; is this normal?,smollm2-17b-q4,"Yes, occasional vomiting in cats can be normal due to various reasons such as eating too quickly or swallowing hair during grooming. However, if frequent vomiting persists, consult a veterinarian for proper diagnosis and treatment.",2227.69,320.63
pet_health_assistant_002,pet health assistant,Suggest a diet for an older dog with arthritis.,smollm2-17b-q4,"A diet rich in omega-3 fatty acids, antioxidants, and anti-inflammatory ingredients can help alleviate symptoms of arthritis in dogs. Include foods like fish oil supplements or salmon, green leafy vegetables, fruits (like blueberries), and lean proteins such as chicken or turkey. Avoid high fat content to prevent exacerbating the condition.",2328.43,284.25
pet_health_assistant_003,pet health assistant,What symptoms indicate heatstroke in outdoor pets?,smollm2-17b-q4,"Heatstroke symptoms in outdoor pets may include high body temperature, rapid breathing or panting, drooling excessively, vomiting, lethargy, seizures, bloody diarrhea, loss of appetite, reddened gums, and collapse.",2244.87,282.19
pet_health_assistant_001,pet health assistant,My cat vomited twice today; is this normal?,qwen25-05b-q8,"Yes, vomiting can be considered normal for a cat, especially if the cat has been eating normally or has eaten small amounts of food recently. However, it's important to monitor your cat closely after vomiting episodes and report any unusual symptoms immediately to your veterinarian.",8152.87,507.47
